Tor 8.7.
Tora 8.7.
Torbjörn 3.3.
Torborg 19.9.
Tord 14.6.
Tore 8.7.
Torgny 11.3.
Torhild 5.11.
Torkel 11.3.
Torolf 27.9.
Torsten 27.2.
Torvald 27.3.
Tove 12.12.
Trude 17.3.
Tryggve 10.4.
Tua 7.5.
Ture 28.4.
Tyra 18.2.
Ulf 5.7.
Ulla 4.7.
Ulrik 5.5.
Ulrika 4.7.
Uno 25.6.
Urban 25.5.
Urda 3.12.
Ursula 21.10.
Valborg 1.5.
Valdemar 18.4.
Valentin 14.2.
Valfrid 12.10.
Valter 29.1.
Vendla 2.6.
Vera 4.8.
Verna 11.4.
Verner 17.8.
Veronika 17.8.
Vesta 17.10.
Vidar 2.4.
Viking 19.10.
Viktor 22.3.
Viktoria 22.3.
Vilhelm 6.4.
Vilhelmina 26.5.
Viola 3.6.
Vivan 2.5.
Viveka 26.6.
Vivi 2.5.
Volmar 18.4.
Volter 29.1.
William 6.4.
Ylva 13.9.
Yngvar 23.11.
Yngve 23.11.
Yrsa 7.8.
Yvonne 25.10.
Zacharias 14.1.
Ågot 7.12.
Åke 8.5.
Åsa 13.6.
Öjvind 3.7.
Örjan 23.4.
Östen 10.9.
